panel,method,drop_rate,metric,mean,std,n
"Panel A: molecular available, drop WSI",RePercENT,0.8,balanced_accuracy,0.6897498069007878,0.011182170399370901,50
"Panel A: molecular available, drop WSI",RePercENT,0.9,balanced_accuracy,0.6828635072374405,0.011328824870493309,50
"Panel A: molecular available, drop WSI",RePercENT,1.0,balanced_accuracy,0.6768622419564219,0.011116920558147432,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.0,balanced_accuracy,0.6333548145290213,0.0,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.1,balanced_accuracy,0.593561073931388,0.005720694159414019,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.2,balanced_accuracy,0.5519006332122345,0.00892503482489972,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.30000000000000004,balanced_accuracy,0.5164289586419787,0.009117410094434798,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.4,balanced_accuracy,0.473971740626775,0.009701644040721408,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.5,balanced_accuracy,0.43442041772145706,0.013000362830829644,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.6000000000000001,balanced_accuracy,0.39310967567129795,0.01200351305306092,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.7000000000000001,balanced_accuracy,0.35351334129749135,0.009258121223972949,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.8,balanced_accuracy,0.3154910665762868,0.009240764722547196,50
"Panel B: WSI available, drop molecular",Early fusion + mask,0.9,balanced_accuracy,0.27418071184394927,0.006227864782968533,50
"Panel B: WSI available, drop molecular",Early fusion + mask,1.0,balanced_accuracy,0.23393483616681504,0.0,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.0,balanced_accuracy,0.632935510967562,0.0,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.1,balanced_accuracy,0.5935341155959394,0.005951837381071101,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.2,balanced_accuracy,0.555541906499895,0.00937384110775157,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.30000000000000004,balanced_accuracy,0.5192917775524422,0.009437547270025728,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.4,balanced_accuracy,0.47992611112827044,0.010469616972263212,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.5,balanced_accuracy,0.44132638819522135,0.011705894053970003,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.6000000000000001,balanced_accuracy,0.3972367845017077,0.012892112882406858,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.7000000000000001,balanced_accuracy,0.3614881629624943,0.008983433748847863,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.8,balanced_accuracy,0.3253387423121589,0.008063452317275448,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,0.9,balanced_accuracy,0.28564782154070567,0.007074265850791382,50
"Panel B: WSI available, drop molecular",Early fusion + mean imputation,1.0,balanced_accuracy,0.24679639166025072,2.803736533363884e-17,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.0,balanced_accuracy,0.6993096735287184,0.003884587442359665,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.1,balanced_accuracy,0.6721309785599138,0.006700290358461802,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.2,balanced_accuracy,0.6433791635275887,0.009104836856662243,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.30000000000000004,balanced_accuracy,0.6182723629334309,0.009157911893201498,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.4,balanced_accuracy,0.5911476778621685,0.009481780347177202,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.5,balanced_accuracy,0.5608495999801293,0.011023381165329228,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.6000000000000001,balanced_accuracy,0.5314130062244219,0.01008824774260498,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.7000000000000001,balanced_accuracy,0.5059103323318666,0.008688883926815457,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.8,balanced_accuracy,0.48056376987127,0.008675561820781556,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.9,balanced_accuracy,0.45067758208958436,0.006981846024755437,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,1.0,balanced_accuracy,0.42289827314570383,0.002346322047648197,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.0,balanced_accuracy,0.6503794590968336,1.1214946133455537e-16,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.1,balanced_accuracy,0.62500516221012,0.006088219648241378,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.2,balanced_accuracy,0.5988265902008681,0.00836271693849073,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.30000000000000004,balanced_accuracy,0.5750361014630484,0.008273833985921993,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.4,balanced_accuracy,0.5491195709483321,0.008535344453843324,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.5,balanced_accuracy,0.5234182678729111,0.0104529905336377,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.6000000000000001,balanced_accuracy,0.49543436172352373,0.01161879316737435,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.7000000000000001,balanced_accuracy,0.4711256099975742,0.009317502891236984,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.8,balanced_accuracy,0.4472083488545544,0.008128398979757392,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.9,balanced_accuracy,0.4200627604421235,0.006131435952201817,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,1.0,balanced_accuracy,0.3943980536136493,0.0,50
"Panel B: WSI available, drop molecular",RePercENT,0.0,balanced_accuracy,0.7440427582172936,0.007492171414392822,50
"Panel B: WSI available, drop molecular",RePercENT,0.1,balanced_accuracy,0.7131108489923436,0.00913016659092674,50
"Panel B: WSI available, drop molecular",RePercENT,0.2,balanced_accuracy,0.6794204777430792,0.009798940410006786,50
"Panel B: WSI available, drop molecular",RePercENT,0.30000000000000004,balanced_accuracy,0.6468789308861378,0.008874022143465814,50
"Panel B: WSI available, drop molecular",RePercENT,0.4,balanced_accuracy,0.6160909371696571,0.009862956625353296,50
"Panel B: WSI available, drop molecular",RePercENT,0.5,balanced_accuracy,0.5831879814683414,0.00907469597988932,50
"Panel B: WSI available, drop molecular",RePercENT,0.6000000000000001,balanced_accuracy,0.5493391456404172,0.011619055223611336,50
"Panel B: WSI available, drop molecular",RePercENT,0.7000000000000001,balanced_accuracy,0.5182995346731537,0.009855311871149906,50
"Panel B: WSI available, drop molecular",RePercENT,0.8,balanced_accuracy,0.48609038438140023,0.011785095559339969,50
"Panel B: WSI available, drop molecular",RePercENT,0.9,balanced_accuracy,0.4527073543073227,0.008945381295321542,50
"Panel B: WSI available, drop molecular",RePercENT,1.0,balanced_accuracy,0.4214014627575999,0.009185122185436191,50
