component,eval,mean,std
D_path_all,TCGA-LGG,0.9607843137254901,0.018341457778303615
D_path_all,TCGA-LUAD,0.85,0.025495097567963948
D_path_all,TCGA-LUSC,0.7795918367346939,0.018536634821005073
D_path_all,TCGA-OV,0.9448275862068967,0.015660260452228413
D_path_all,TCGA-PRAD,0.9940000000000001,0.0054772255750516665
D_path_clin,overall,0.9428073234524847,0.004471100751511133
D_path_clin,TCGA-BRCA,0.9962790697674417,0.00606437433042105
D_path_clin,TCGA-COAD,0.9701149425287356,0.013105464656311948
D_path_clin,TCGA-GBM,0.9203389830508474,0.015394832308970293
D_path_clin,TCGA-HNSC,0.9692307692307691,0.01253692770231278
D_path_clin,TCGA-KIRC,0.9906542056074766,0.0
D_path_clin,TCGA-LGG,0.9549019607843137,0.011178190442148427
D_path_clin,TCGA-LUAD,0.836,0.020736441353327705
D_path_clin,TCGA-LUSC,0.7795918367346938,0.029397674063036634
D_path_clin,TCGA-OV,0.9551724137931036,0.014165238556168113
D_path_clin,TCGA-PRAD,0.992,0.008366600265340762
D_path_mol,overall,0.9417611159546644,0.004462592464540462
D_path_mol,TCGA-BRCA,0.9953488372093023,0.0032888687497048623
D_path_mol,TCGA-COAD,0.974712643678161,0.014986672195868179
D_path_mol,TCGA-GBM,0.9118644067796609,0.01651999041493044
D_path_mol,TCGA-HNSC,0.973076923076923,0.004300130725961119
D_path_mol,TCGA-KIRC,0.9906542056074766,0.0
D_path_mol,TCGA-LGG,0.9627450980392156,0.020092060325410947
D_path_mol,TCGA-LUAD,0.8300000000000001,0.01870828693386968
D_path_mol,TCGA-LUSC,0.7775510204081634,0.03490332933976954
D_path_mol,TCGA-OV,0.9448275862068964,0.015660260452228413
D_path_mol,TCGA-PRAD,0.9960000000000001,0.005477225575051666
D_path_wsi,overall,0.9447253705318222,0.003119188111595198
D_path_wsi,TCGA-BRCA,0.9962790697674417,0.0038914419838794096
D_path_wsi,TCGA-COAD,0.9770114942528737,0.011494252873563204
D_path_wsi,TCGA-GBM,0.9220338983050848,0.015159782898303619
D_path_wsi,TCGA-HNSC,0.973076923076923,0.004300130725961119
D_path_wsi,TCGA-KIRC,0.9906542056074766,0.0
D_path_wsi,TCGA-LGG,0.9607843137254901,0.018341457778303615
D_path_wsi,TCGA-LUAD,0.842,0.023874672772626615
D_path_wsi,TCGA-LUSC,0.7918367346938775,0.02561204162859418
D_path_wsi,TCGA-OV,0.9431034482758621,0.025573098231364357
D_path_wsi,TCGA-PRAD,0.992,0.008366600265340762
D_wsi_all,overall,0.468875326939843,0.008856791699529404
D_wsi_all,TCGA-BRCA,0.7767441860465116,0.02230619313168709
D_wsi_all,TCGA-COAD,0.4,0.029752135874815597
D_wsi_all,TCGA-GBM,0.42372881355932196,0.010379193825352444
D_wsi_all,TCGA-HNSC,0.29615384615384616,0.018495561597760914
D_wsi_all,TCGA-KIRC,0.6261682242990654,0.009345794392523366
D_wsi_all,TCGA-LGG,0.3450980392156862,0.05018228977282245
D_wsi_all,TCGA-LUAD,0.276,0.029664793948382655
D_wsi_all,TCGA-LUSC,0.23469387755102042,0.030612244897959176
D_wsi_all,TCGA-OV,0.5362068965517242,0.030110774476849955
D_wsi_all,TCGA-PRAD,0.40199999999999997,0.014832396974191314
D_wsi_clin,overall,0.45998256320836967,0.009542562017445256
D_wsi_clin,TCGA-BRCA,0.7916279069767442,0.01984253861181542
D_wsi_clin,TCGA-COAD,0.40229885057471265,0.018174009541197578
D_wsi_clin,TCGA-GBM,0.4118644067796611,0.024415017442182944
D_wsi_clin,TCGA-HNSC,0.30576923076923074,0.03426640323308742
D_wsi_clin,TCGA-KIRC,0.6261682242990654,0.014776998412001774
D_wsi_clin,TCGA-LGG,0.30392156862745096,0.04216826111295407
D_wsi_clin,TCGA-LUAD,0.256,0.02302172886644268
D_wsi_clin,TCGA-LUSC,0.23469387755102042,0.03226813938947326
D_wsi_clin,TCGA-OV,0.5,0.021978532386175795
D_wsi_clin,TCGA-PRAD,0.37399999999999994,0.019493588689617945
D_wsi_mol,overall,0.461900610287707,0.011621984609927166
D_wsi_mol,TCGA-BRCA,0.7925581395348837,0.01528528067456278
D_wsi_mol,TCGA-COAD,0.39080459770114945,0.026956412412778328
D_wsi_mol,TCGA-GBM,0.4016949152542373,0.015394832308970298
D_wsi_mol,TCGA-HNSC,0.2865384615384615,0.01970567454992232
D_wsi_mol,TCGA-KIRC,0.633644859813084,0.021311690188768936
D_wsi_mol,TCGA-LGG,0.31176470588235294,0.029736766447260973
D_wsi_mol,TCGA-LUAD,0.28,0.02121320343559642
D_wsi_mol,TCGA-LUSC,0.22857142857142856,0.011634443113256511
D_wsi_mol,TCGA-OV,0.5172413793103448,0.01363050715589818
D_wsi_mol,TCGA-PRAD,0.38199999999999995,0.0216794833886788
D_wsi_path,overall,0.45963382737576286,0.005493281256154627
D_wsi_path,TCGA-BRCA,0.7925581395348837,0.019064094448296928
D_wsi_path,TCGA-COAD,0.4068965517241379,0.027681826617913324
D_wsi_path,TCGA-GBM,0.4101694915254237,0.00966250360253506
D_wsi_path,TCGA-HNSC,0.3076923076923077,0.024514516892273013
D_wsi_path,TCGA-KIRC,0.6186915887850468,0.01218542505645355
D_wsi_path,TCGA-LGG,0.3019607843137255,0.008202549279745829
D_wsi_path,TCGA-LUAD,0.264,0.018165902124584965
D_wsi_path,TCGA-LUSC,0.24081632653061225,0.027569910379808764
D_wsi_path,TCGA-OV,0.49482758620689654,0.01888698474155747
D_wsi_path,TCGA-PRAD,0.366,0.026076809620810593
S_clin_all,overall,1.0,0.0
S_clin_all,TCGA-BRCA,1.0,0.0
S_clin_all,TCGA-COAD,1.0,0.0
S_clin_all,TCGA-GBM,1.0,0.0
S_clin_all,TCGA-HNSC,1.0,0.0
S_clin_all,TCGA-KIRC,1.0,0.0
S_clin_all,TCGA-LGG,1.0,0.0
S_clin_all,TCGA-LUAD,1.0,0.0
S_clin_all,TCGA-LUSC,1.0,0.0
S_clin_all,TCGA-OV,1.0,0.0
S_clin_all,TCGA-PRAD,1.0,0.0
S_clin_mol,overall,1.0,0.0
S_clin_mol,TCGA-BRCA,1.0,0.0
S_clin_mol,TCGA-COAD,1.0,0.0
S_clin_mol,TCGA-GBM,1.0,0.0
S_clin_mol,TCGA-HNSC,1.0,0.0
S_clin_mol,TCGA-KIRC,1.0,0.0
S_clin_mol,TCGA-LGG,1.0,0.0
S_clin_mol,TCGA-LUAD,1.0,0.0
S_clin_mol,TCGA-LUSC,1.0,0.0
S_clin_mol,TCGA-OV,1.0,0.0
S_clin_mol,TCGA-PRAD,1.0,0.0
S_clin_path,overall,1.0,0.0
S_clin_path,TCGA-BRCA,1.0,0.0
S_clin_path,TCGA-COAD,1.0,0.0
S_clin_path,TCGA-GBM,1.0,0.0
S_clin_path,TCGA-HNSC,1.0,0.0
S_clin_path,TCGA-KIRC,1.0,0.0
S_clin_path,TCGA-LGG,1.0,0.0
S_clin_path,TCGA-LUAD,1.0,0.0
S_clin_path,TCGA-LUSC,1.0,0.0
S_clin_path,TCGA-OV,1.0,0.0
S_clin_path,TCGA-PRAD,1.0,0.0
S_clin_wsi,overall,0.9998256320836966,0.00038989851394941505
S_clin_wsi,TCGA-BRCA,1.0,0.0
S_clin_wsi,TCGA-COAD,1.0,0.0
S_clin_wsi,TCGA-GBM,1.0,0.0
S_clin_wsi,TCGA-HNSC,1.0,0.0
S_clin_wsi,TCGA-KIRC,1.0,0.0
S_clin_wsi,TCGA-LGG,1.0,0.0
S_clin_wsi,TCGA-LUAD,0.998,0.004472135954999584
S_clin_wsi,TCGA-LUSC,1.0,0.0
S_clin_wsi,TCGA-OV,1.0,0.0
S_clin_wsi,TCGA-PRAD,1.0,0.0
S_mol_all,overall,0.7034001743679162,0.014331091024207099
S_mol_all,TCGA-BRCA,0.7051162790697674,0.009644856443408213
S_mol_all,TCGA-COAD,0.39080459770114945,0.03634801908239517
S_mol_all,TCGA-GBM,0.9830508474576272,0.0
S_mol_all,TCGA-HNSC,0.6807692307692308,0.008044807947443005
S_mol_all,TCGA-KIRC,0.6317757009345794,0.03887221372539332
S_mol_all,TCGA-LGG,0.5274509803921568,0.018858219668305243
S_mol_all,TCGA-LUAD,0.58,0.059581876439064936
S_mol_all,TCGA-LUSC,0.7081632653061225,0.02660898940899043
S_mol_all,TCGA-OV,0.8068965517241379,0.013073923179399212
S_mol_all,TCGA-PRAD,0.9200000000000002,1.2412670766236366e-16
S_mol_clin,overall,0.6737576285963384,0.009214317412809288
S_mol_clin,TCGA-BRCA,0.6753488372093024,0.03144268610447547
S_mol_clin,TCGA-COAD,0.33563218390804594,0.027442152612214527
S_mol_clin,TCGA-GBM,0.9830508474576272,0.0
S_mol_clin,TCGA-HNSC,0.6576923076923077,0.014582452777022234
S_mol_clin,TCGA-KIRC,0.5999999999999999,0.027566133091126408
S_mol_clin,TCGA-LGG,0.49411764705882355,0.017809707965279347
S_mol_clin,TCGA-LUAD,0.51,0.046368092477478515
S_mol_clin,TCGA-LUSC,0.6632653061224489,0.01443075063646017
S_mol_clin,TCGA-OV,0.7896551724137931,0.01787624254597215
S_mol_clin,TCGA-PRAD,0.9179999999999999,0.004472135954999583
S_mol_path,overall,0.6737576285963384,0.0076602903701792095
S_mol_path,TCGA-BRCA,0.6809302325581396,0.015285280674562774
S_mol_path,TCGA-COAD,0.335632183908046,0.020561544620687724
S_mol_path,TCGA-GBM,0.9830508474576272,0.0
S_mol_path,TCGA-HNSC,0.6596153846153846,0.010963225241337861
S_mol_path,TCGA-KIRC,0.6018691588785047,0.03277696806869193
S_mol_path,TCGA-LGG,0.4901960784313726,0.01834145777830363
S_mol_path,TCGA-LUAD,0.506,0.043931765272977576
S_mol_path,TCGA-LUSC,0.6612244897959184,0.01825361614285539
S_mol_path,TCGA-OV,0.7862068965517242,0.017667156493033773
S_mol_path,TCGA-PRAD,0.916,0.0054772255750516665
S_mol_wsi,overall,0.6699215344376634,0.006656882011794637
S_mol_wsi,TCGA-BRCA,0.6781395348837209,0.01158130195161744
S_mol_wsi,TCGA-COAD,0.3241379310344828,0.03189525730002667
S_mol_wsi,TCGA-GBM,0.9796610169491526,0.00464171658902688
S_mol_wsi,TCGA-HNSC,0.6557692307692308,0.014261920167491685
S_mol_wsi,TCGA-KIRC,0.5981308411214952,0.028805672911069988
S_mol_wsi,TCGA-LGG,0.4862745098039216,0.013153341044116409
S_mol_wsi,TCGA-LUAD,0.492,0.03271085446759227
S_mol_wsi,TCGA-LUSC,0.6469387755102041,0.01707469441906273
S_mol_wsi,TCGA-OV,0.8017241379310345,0.016127833563680798
S_mol_wsi,TCGA-PRAD,0.914,0.005477225575051666
S_path_all,overall,0.9415867480383611,0.003947421594654494
S_path_all,TCGA-BRCA,0.9944186046511628,0.005095093558187576
S_path_all,TCGA-COAD,0.974712643678161,0.009616781914184764
S_path_all,TCGA-GBM,0.916949152542373,0.013925149767080458
S_path_all,TCGA-HNSC,0.9711538461538461,0.009615384615384581
S_path_all,TCGA-KIRC,0.9906542056074766,0.0
S_path_all,TCGA-LGG,0.9568627450980391,0.01640509855949167
